id,content,isTitle,image,imgHeight,imgWidth
BUPAConsultant,"Tehnology Consultant – IT, BUPA Arabia, Jeddah, KSA. August 2021 – Present",TRUE,,,
BUPAConsultant_1,"<b>E-invoicing Solution:</b>  Technical Design and Development for Regulatory(ZATCA) Compliance E-invoicing Solution for organization wide implementation. The scope included a new system for integration of existing invoicing solution with E-invoicing Phase II (KSA) (Spring boot, Python, Angular, Jenkins, Elastic search).",FALSE,../images/einvoice.png,150,410
BUPAConsultant_2,"<b>Insight: </b> Creation of Front end for Technical Team to manage the PID, TDD, And other reports and documents for multiple projects that connected to Microsoft TFS and a NodeJs backend. (Angular) (Document Management System)",FALSE,../images/insight.png,150,410
BUPAConsultant_3,"<b>Application Performance Management System (APM): </b> Continuous live monitoring, alerts and hourly reports for critical application. Immediate alerts and actions on IT service issues and Resolution before customer escalation. (Elasticsearch, NodeJS, Python, VueJS, Pandas, Numpy, Jenkins).",FALSE,../images/apm.png,150,410
BUPAConsultant_4,"<b>URL Shortening Service: </b> URL Shortening service that encrypts and shortens long URL into 15-character URL for consumption in SMS and Email service. Reduced cost of sending SMS to three Million customer-base by half. (Elasticsearch, Python, Django, Jenkins). ",FALSE,,,
BUPAConsultant_5,"<b>IVRS service Migration </b>for SOAP based application to Restful APIs connected to IBM ACE middleware gateway. (Python, flask).",,,,
BUPAConsultant_6,<b>ElasticSearch Log Management: </b> Monitoring and servicing ELK Log management and Kibana.,FALSE,../images/elk.png,150,410
BUPAConsultant_7,"Various other DevOps related automation using Python scripts & Jenkins (Daily backups, Log analysis, Alerts).",FALSE,,,
BUPAConsultant_8,Documentation and mapping of core Insurance functions to corresponding system wide APIs.,FALSE,,,
BMHAnalytics,"Assistant Manager – Healthcare Analytics, Baby Memorial Hospital, Kozhikode, Kerala. July 2020 – July 2021",TRUE,,,
BMHAnalytics_1,A <b>Nursing MIS & QMS system</b> that covered critical clinical and administrative workflow of nurses and informative dashboard that gave live feed of ground situation to top level managers of the ground situation at various nursing a stations.,FALSE,../images/nqms.PNG,150,410
BMHAnalytics_2,"A <b>Document Management System (DMS)</b> with complete features including version-controling,multiple document types (SOPS, MoU, Agreements, Licenses,department Manuals, etc) , verification ans approval workflow, dashboard, document expiry alert systems etc",FALSE,../images/dms.PNG,,
BMHAnalytics_3,A <b>Feedback Analytics Engine</b> and module that can be used to make custom forms on the fly and can be distributed. and also a dedicated engine for analytics with custom dashboards.,FALSE,../images/fba.PNG,,
BMHAnalytics_4,"A <b>Badge Appraisal System</b> similar to LinkedIn kudos, that can be used to mark the employee performance over the course of a year and used to appraise them.",FALSE,../images/bas.PNG,,
BMHAnalytics_5,"A <b>Quiz & Games</b> application that comprised to three games: Crosswords, wordsearch and jumble words. The games can be designed by user on the fly. this can then be distributed for the staff to play & submit their results. this was designed with the concept of ""learning through gamification"" in mind.",FALSE,../images/crossword.PNG,225,410
BMHAnalytics_6,An <b>E-learning & Assessment Platform</b> with courses and their reference materials can be created. the participants can enroll for various types of courses and training upon completion of which the participants are issued automated certificates.,FALSE,../images/aqm.PNG,225,410
BMHAnalytics_7,"An internal <b>Quality Audits</b> Module based on the NABH 5th edition that is completely administeredby the quality department. the standards, checklists, and locations are maintained as masters and can be edited/updated by admin users. the audits can be scheduled and teams can be created. the digital checklists can be used for audit assessment. the automated reports will be generated based on the checklist.",FALSE,../images/ats.PNG,225,410
BMHOperations,"Assistant Manager – Operations, Baby Memorial Hospital, Kozhikode, Kerala. Jan 2020 – Jun 2020",TRUE,,,
BMHOperations_1,Developed a <b>Roster Automation Tool (Rota)</b> for scheduling the roster of a 600 manpower nursing workforce on monthly basis. The tool has been estimated to save ~1400 hours of man-hours in a year. (stack: Python & Django),FALSE,../images/rota.PNG,150,410
BMHOperations_2,"Created a full-fledged & comprehensive <b>Healthcare Quality Management System (HQMS)</b> covering modules: Incident Management System, (Preventive) Action Plan Tracker, Committee management and meeting g minutes tracker, mockdrill tracker. (Stack: PostgreSQL, Django, Python, Vue.js, Bootstrap, Jquery).",FALSE,"../images/hqms.PNG,../images/comm.PNG,../images/mda.PNG",150,410
BMHOperations_3,Created and conducted training module in nursing informatics for Nurse Managers and other nurses in leadership roles spanning over two months. Received an average feedback rating of 4.8 of 5 from the students.,FALSE,../images/nurse_informatics.PNG,150,410
BMHOperations_4,Regularly created informative Dashboards using tools such as Power BI & Tableau to measure the performance of clinical departments and their outputs.,FALSE,,,
BMHOperations_5,Created comprehensive 360-degree metrics for analysing the performance of Nursing & clinical departments.,FALSE,,,
BMHTrainee,"Management Trainee - Operations, Baby Memorial Hospital, Kozhikode, Kerala. Jul 2019 – Dec 2019.",TRUE,,,
BMHTrainee_1,System Analysis & Design of IT-enabled Nursing MIS. Designed system for automating and IT enabling nursing processes.,FALSE,,,
BMHTrainee_2,"Carried a brief study on scope for lean initiatives and improvement at the Emergency department. The outcome included significant improvement in terms of nurse satisfaction, reduced patient Turn- around Time of 40%, among many other intangible benefits.",FALSE,,,
BMHTrainee_3,Lean Six Sigma project on improving Discharge process. Proposed solution for reducing discharge TAT from 3 to 1.5 hours.,FALSE,,,
BMHTrainee_4,"Coordinate, monitor and report day to day operations of clinical Unit to COO and Chief of Medical Services.",FALSE,,,
BMHTrainee_5,Several Business development and clinical research activities for the Cardiology Unit of the hospital.,FALSE,,,
ITConsulting,Analytics & IT Consulting. Mar 2014 – Present.,TRUE,,,
ITConsulting_1,"Consulted and Published multiple academic papers on Healthcare, Machine Learning, Medical documentation and ethics where my primary role was that of an Analyst.",FALSE,,,
ITConsulting_2,"Worked on an <a href=""https://www.researchgate.net/publication/329732301_Assessment_of_Healthcare_Systems_Across_BRICS_Nations_What_India_Can_Learn_from_the_Rest"" target=_blank>Academic Paper</a> Review of Healthcare system and infrastructure across BRICS Nations and How these countries changed over time. The study also focused on how and what India can learn from the rest of the BRICS countries. My role in the project was that of an Analyst diving deep into data and literature, cleaning dataset, organizing and summarizing conclusions. The work is published in JCDR, a reputed Academic Journal and I am the First Author for the project.",FALSE,,,
