Sl No,Title,icon,date,text
1,Completed Grade 10,fa  fa-graduation-cap,11-Mar,"Completed Grade 10 from International Indian School, Jeddah."
2,Completed Grade 12,fa  fa-graduation-cap,13-Mar,"Completed Grade 12 with Science (Computer science and Biology) from International Indian School, Jeddah."
3,Enrolled Undergraduation program,fa  fa-arrow-circle-o-up,14-Jun,BSc. Health Information Administration
4,"Internship at VPS healthcare, Cochin",fa  fa-list-alt,17-Feb,"Worked as Analyst Intern at VPS Hospital, Cochin, and worked on skill and awareness of staff in Medic-legal Practice. The resulting findings were published in a reputed journal."
5,Completed Bachelor of Science Degree,fa  fa-graduation-cap,17-Jun,"Completed BSc. Health Information Administration Degree from MCOAHS, MAHE, Manipal, as Best Out-going student."
6,Joined Masters' program at Manipal,fa  fa-arrow-circle-o-up,17-Jul,"Joined Master of Hospital Administration program at MAHE, Manipal."
7,Publication in Public Health,fa   fa-star,18-Sep,Teamed up with colleagues and wrote a review publication assessing the Healthcare Delivery Systems in BRICS nations and What India can learn from the rest.
8,"Internship at Starcare Hospital, Calicut",fa   fa-list-alt,19-Feb,"Worked as an analyst intern at Starcare Hospital, Calicut for 2 months with project assessing NABH compliance in documentation."
9,Graduation,fa   fa-graduation-cap,19-Jun,"Graduated with Master of Hospital Administration Degree from Department of Public Health, MAHE"
10,Certifications,fa   fa-fa,19-Jul,"Completed various certifications in Data Analytics including Specialization from IBM, Rice university, University of Amsterdam, University of Illinois Urbana-Champaign, and Lean Six Sigma from Anexas Europe among others."
11,Management Trainee - BMH,fa   fa-envira,19-Jul,"I was hired as Management Trainee - Operations at Baby Memorial Hospital, Calicut, India."
12,Lean Six Sigma in Cardiology Department,fa   fa-exclamation,19-Aug,Worked on a project to reduce the discharge TAT and OP TAT and identify waste in the process in cardiology department of the hospital. Proposed solutions to reduce the discharge TAT from 3 hours to 1.5 hours.
13,System Design for Nurse MIS,fa  fa-edit,19-Oct,Created documentation for making Administrative workflows in nursing department digital. This work proved to be foundation and basis for the NQMS that later became a reality in February 2021.
14,Lean in Emergency Department,fa fa-object-group,19-Dec,"Assigned as a management student at Emergency Deparment of the Hospital & worked with the Nursing team, doctors and administration to lead a Lean Implementation project and remove wasteful activity to improve the TAT and patient satisfaction. The outcome included significant improvement in terms of nurse satisfaction, reduced patient Turn- around Time of 40%, among many other intangible benefits."
15,Promoted as Assistant Manager,fa fa-thumbs-up,20-Jan,"On completion of my training period, I was hired as Assistant Manager for Operations for the Hospital reporting directly to COO."
16,Rota Application,fa fa-th-list,20-Jan,Created an application to automate the roster creation for nurses. The head nurse at each nursing station use to create a spreadsheet listing duty shift of each nurse of the station for all the days of a month. This was a time consuming and deliberative process. This app tried to automate this process.
17,Training on Health Informatics,fa fa-plus-circle,20-Feb,"Trained Nurse managers and other supervisors on Analyics under a course health informatics empowering them with skills to understand, analyse and interpret the data they come across on daily basis. The program was well received. I was given momento and a high rating of 4.8 out of five on feedback from my trainees upon collecting feedback."
18,HQMS: A new beginning,fa fa-plane,20-Feb,Started out with a new project with the vision of automating and digitizing the entire process and making the Quality related workflow of hospital IT-Enabled. This later proved to highly beneficial move considering all the online Accreditation audits and social-distancing measures that became a reality due to Covid-19 pandemic.
19,Incident Management and CAPA,fa fa-exclamation-triangle,20-Mar,"Completely automated the incident reporting, investigation, review and preventive action plan workflow of the hospital as the first step in IT-enabled HQMS."
20,A Covid-19 Dashboard,fa fa-dashboard,20-Apr,"Worked on and developed a new dashboard for Covid-19 pandemic covering analytics at India, Indian States, and Global data. This app used web-scraping, and api services to automatically collect the data and provide information for its users. During the initial stages, hit around 30K views per month."
21,Document Management System,fa fa-book,20-May,"A comprehensive Document Management System (DMS) for the Hospital to maintain the SOPS, Manuals, MoUs, and Licenses. The system incorporated features including masters, form templates for various kinds of documents, version-control, verification and approval workflow, Email Alerts to admins where relevent, limited view-only access of PDF documents etc."
22,Redesignated as Asst. Manager - Analytics,fa fa-thumbs-up,20-Jun,"Considering my contribution in Analytics, I was redesignated and promoted as ""Assistant Manager - Healthcare Analytics"" at BMH."
23,Mock Drill Application,fa fa-calendar-o,20-Jul,"Teamed up with Quality Department to schedule, give responsibility, track, analyse and create reports of mockdrill"
24,Committee Tracker Application,fa fa-bell,20-Aug,Teamed up with again Quality Deparment to automate workflow and digitize tracking of all committees and the convening of their members and meeting minutes. This helped documenting the meeting and its minutes easy and follow-up of meeting decisions swift.
25,Machine Learning Research,fa fa-bell,20-Sep,Worked on application of Machine Learning in Hospital workflow. Created application that can predict the Discharge TAT and OP TAT among others. One of such study and application was published in a Q1 Journal with me as First Author.
26,CQI Dashboard,fa fa-bar-chart-o,20-Nov,Created a Dashboard and automated related workflow to get live-feed and analytics for the CQI (KPI) of organization with a fluid and fast VueJS powered application for the hospitals
27,HIC Workflow Automation,fa fa-sticky-note-o,20-Dec,Collaborated with Hospital Infection Control Department of the Hospital to understand the business requirments and created applications to automate their workflow.
28,Nursing MIS,fa fa-dashboard,21-Feb,A Comprehensive Management Information System for the Nursing Department of tertiary-care hospital covering critical clinical and critical workflow and live analytics dashboard for Managers and Supervisors.
29,An Academic Paper,fa fa-file-excel-o,21-Mar,"Consulted for academicians as an analyst in a Case-Study on ""Effectiveness of Telemedicine during Covid-19 Pandemic"". The study was published on a reputed academic journal"
30,Feedback & Analytics Engine,fa fa-backward,21-Apr,"A feedbacks collection application with custom forms and a complimentary analytics engine that is used to create, distribute digital forms to our customers and receive feedbacks and live analytics dashboard."
31,Audits Tracker,fa fa-align-justify,21-May,"Created an application that automated the workflow to conduct audits for QMS, with user manageable standards, checklists and automated reports."
32,E-Learning Platform,fa fa-laptop,21-Jun,"Started working with HR department. Created a new E-learning platform to engage staff where courses are tought, examinations are conducted, and certificates are distributed in an all encompassing training platform making the entire workflow digital."
33,Gamification at Work,fa fa-gamepad,21-Jun,An App for HR to create games and quiz competition to engage staff to learn and train them through games.
34,A New Module For HR,fa fa-tag,21-Jul,Badge Appraisal System: For HR Department to appraise employee on continous basis. Similar to LinkedIn #Kudos.
35,Started in New Role at Bupa Arabia,fa fa-hand-o-right,21-Aug,"Left job at BMH & Joined in a completely technical role as an outsourced consultant for <a href=""https://bupa.com.sa/"" target=""_blank"">Bupa Arabia</a> in their IT Department."
36,Angram Game released,fa fa-gamepad,21-Aug,"Created a new website that can let its users create,share and play Anagram Puzzles at <a href=""https://jumble.sayedhisham.com"" target=""_blank"">Jumbly: Anagram Maker"" </a>"
37,Took a Course on Healthcare Management,fa fa-laptop,21-Sep,Gave a Course/Lecture to PhD students of Manipal Academy of Higher Education on Healthcare Management
38,An IVR Application to Rest APIs,fa  fa-arrow-circle-o-up,21-Oct,"In my new role at BUPA, migrated an entire application encompassing around ~70 API from SOAP architecture to modern Restful API architecture. (flask/Python)"
39,A short URL Service,fa fa-tag,21-Nov,"Created a URL Shortening service similar to bitly for Bupa Arabia for Customer Email and SMS."
40,Jenkins Automation,fa fa-play-circle-o,21-Dec,"Jenkins Automated CI/CD pipeline right from code push->Test->Deployment."
41,Elastic Search,fa fa-database,22-Jan,"Implementation of Log management through ELK stack and Kibana."
42,APM,fa fa-check-circle,22-Feb,"Application Performance Monitoring through Log monitoring in ELK."
43,Einvoicing Project Commences,fa fa-check-circle,22-Mar,"Application Performance Monitoring through Log monitoring in ELK."
44,Technical Design and Architecture,fa fa-cube,22-Apr,"Drew out Technical Design and Architecture for integration new solution"
45,Einvoice Solution Development,fa fa-code,22-June,"Development of core Einvoicing solution starts and completes in 3 months"
46,Scheduled service for Invoice Clearance,fa fa-cube,22-Aug,"A scheduler system working in tandem with legacy ERP collection data, creating Invoice and submitting to regulatory body."
47,Insight,fa fa-lightbulb-o,22-Sep,"Creation of Front end for Technical Team to manage the PID, TDD, And other reports and documents for multiple projects."
48,Einvoice UI,fa fa-simplybuilt,22-Nov,"Creation of Front end for the Einvoicing Solution for business users to trace the submission/automated creation of invoice and status of acceptance by regulatory body."
